model,reasoning_type,complexity,run,question_id,is_correct,score,tokens
gemini_3_flash_preview,hierarchical,3,1,q_470401,True,1.0,965.0
gemini_3_flash_preview,hierarchical,3,1,q_940613,True,1.0,975.0
gemini_3_flash_preview,hierarchical,3,1,q_525098,True,1.0,998.0
gemini_3_flash_preview,hierarchical,3,1,q_719006,True,1.0,996.0
gemini_3_flash_preview,hierarchical,3,1,q_666755,True,1.0,1050.0
gemini_3_flash_preview,hierarchical,3,1,q_542854,True,1.0,1034.0
gemini_3_flash_preview,hierarchical,3,1,q_208020,True,1.0,1043.0
gemini_3_flash_preview,hierarchical,3,1,q_405713,True,1.0,1083.0
gemini_3_flash_preview,hierarchical,3,1,q_625450,True,1.0,1066.0
gemini_3_flash_preview,hierarchical,3,2,q_696255,True,1.0,960.0
gemini_3_flash_preview,hierarchical,3,2,q_724762,True,1.0,930.0
gemini_3_flash_preview,hierarchical,3,2,q_133184,True,1.0,894.0
gemini_3_flash_preview,hierarchical,3,2,q_563799,True,1.0,952.0
gemini_3_flash_preview,hierarchical,3,2,q_502913,True,1.0,970.0
gemini_3_flash_preview,hierarchical,3,2,q_437762,True,1.0,992.0
gemini_3_flash_preview,hierarchical,3,2,q_200928,True,1.0,967.0
gemini_3_flash_preview,hierarchical,3,2,q_186882,True,1.0,977.0
gemini_3_flash_preview,hierarchical,3,2,q_402275,True,1.0,1014.0
gemini_3_flash_preview,hierarchical,3,2,q_858963,True,1.0,1048.0
gemini_3_flash_preview,hierarchical,3,3,q_607324,True,1.0,947.0
gemini_3_flash_preview,hierarchical,3,3,q_954521,True,1.0,947.0
gemini_3_flash_preview,hierarchical,3,3,q_715046,True,1.0,965.0
gemini_3_flash_preview,hierarchical,3,3,q_695563,True,1.0,1031.0
gemini_3_flash_preview,hierarchical,3,3,q_205518,True,1.0,999.0
gemini_3_flash_preview,hierarchical,3,3,q_548586,True,1.0,1019.0
gemini_3_flash_preview,hierarchical,3,3,q_937062,True,1.0,1057.0
gemini_3_flash_preview,hierarchical,3,3,q_216158,True,1.0,1092.0
gemini_3_flash_preview,hierarchical,3,3,q_820824,True,1.0,1081.0
gemini_3_flash_preview,hierarchical,3,3,q_835301,True,1.0,1146.0
gemini_3_flash_preview,hierarchical,1,1,q_424489,True,1.0,418.0
gemini_3_flash_preview,hierarchical,1,1,q_612845,True,1.0,469.0
gemini_3_flash_preview,hierarchical,1,2,q_561902,True,1.0,470.0
gemini_3_flash_preview,hierarchical,1,2,q_190768,True,1.0,471.0
gemini_3_flash_preview,hierarchical,1,2,q_756368,True,1.0,451.0
gemini_3_flash_preview,hierarchical,1,2,q_735939,True,1.0,455.0
gemini_3_flash_preview,hierarchical,1,2,q_693014,True,1.0,449.0
gemini_3_flash_preview,hierarchical,1,2,q_751175,True,1.0,470.0
gemini_3_flash_preview,hierarchical,1,2,q_232668,True,1.0,473.0
gemini_3_flash_preview,hierarchical,1,2,q_864609,True,1.0,511.0
gemini_3_flash_preview,hierarchical,1,3,q_575625,True,1.0,447.0
gemini_3_flash_preview,hierarchical,1,3,q_511813,True,1.0,433.0
gemini_3_flash_preview,hierarchical,1,3,q_448805,True,1.0,456.0
gemini_3_flash_preview,hierarchical,1,3,q_472113,True,1.0,461.0
gemini_3_flash_preview,hierarchical,1,3,q_673386,True,1.0,457.0
gemini_3_flash_preview,hierarchical,1,3,q_308078,True,1.0,439.0
gemini_3_flash_preview,hierarchical,4,1,q_370991,True,1.0,1646.0
gemini_3_flash_preview,hierarchical,4,1,q_629457,True,1.0,1682.0
gemini_3_flash_preview,hierarchical,4,1,q_143627,True,1.0,1721.0
gemini_3_flash_preview,hierarchical,4,1,q_114328,True,1.0,1719.0
gemini_3_flash_preview,hierarchical,4,1,q_941734,True,1.0,1704.0
gemini_3_flash_preview,hierarchical,4,1,q_472333,True,1.0,1753.0
gemini_3_flash_preview,hierarchical,4,1,q_587640,True,1.0,1678.0
gemini_3_flash_preview,hierarchical,4,1,q_269301,True,1.0,1686.0
gemini_3_flash_preview,hierarchical,4,1,q_789186,True,1.0,1768.0
gemini_3_flash_preview,hierarchical,4,1,q_910720,True,1.0,1777.0
gemini_3_flash_preview,hierarchical,4,2,q_983532,True,1.0,1789.0
gemini_3_flash_preview,hierarchical,4,2,q_493004,True,1.0,1769.0
gemini_3_flash_preview,hierarchical,4,2,q_811784,True,1.0,1788.0
gemini_3_flash_preview,hierarchical,4,2,q_788226,True,1.0,1821.0
gemini_3_flash_preview,hierarchical,4,2,q_157858,True,1.0,1782.0
gemini_3_flash_preview,hierarchical,4,2,q_166068,True,1.0,1824.0
gemini_3_flash_preview,hierarchical,4,2,q_177961,True,1.0,1853.0
gemini_3_flash_preview,hierarchical,4,2,q_289826,True,1.0,1869.0
gemini_3_flash_preview,hierarchical,4,2,q_738154,True,1.0,1875.0
gemini_3_flash_preview,hierarchical,4,2,q_868670,True,1.0,1993.0
gemini_3_flash_preview,hierarchical,4,3,q_112425,True,1.0,1716.0
gemini_3_flash_preview,hierarchical,4,3,q_898760,True,1.0,1754.0
gemini_3_flash_preview,hierarchical,4,3,q_144790,True,1.0,1719.0
gemini_3_flash_preview,hierarchical,4,3,q_497258,True,1.0,1797.0
gemini_3_flash_preview,hierarchical,4,3,q_589161,True,1.0,1740.0
gemini_3_flash_preview,hierarchical,4,3,q_895813,True,1.0,1828.0
gemini_3_flash_preview,hierarchical,4,3,q_962387,True,1.0,1789.0
gemini_3_flash_preview,hierarchical,4,3,q_762982,True,1.0,1788.0
gemini_3_flash_preview,hierarchical,4,3,q_676972,True,1.0,1842.0
gemini_3_flash_preview,hierarchical,4,3,q_573717,True,1.0,1796.0
gemini_3_flash_preview,temporal,2,1,q_110981,True,1.0,951.0
gemini_3_flash_preview,temporal,2,1,q_673027,False,0.0,992.0
gemini_3_flash_preview,temporal,2,1,q_723108,True,1.0,966.0
gemini_3_flash_preview,temporal,2,1,q_455497,False,0.0,949.0
gemini_3_flash_preview,temporal,2,1,q_802957,False,0.0,1215.0
gemini_3_flash_preview,temporal,2,1,q_272731,True,1.0,1009.0
gemini_3_flash_preview,temporal,2,1,q_248549,True,1.0,987.0
gemini_3_flash_preview,temporal,2,1,q_605459,True,1.0,969.0
gemini_3_flash_preview,temporal,2,1,q_341223,True,1.0,1056.0
gemini_3_flash_preview,temporal,2,1,q_864552,False,0.0,1320.0
gemini_3_flash_preview,temporal,2,2,q_367863,False,0.0,769.0
gemini_3_flash_preview,temporal,2,2,q_792135,True,1.0,827.0
gemini_3_flash_preview,temporal,2,2,q_191706,True,1.0,899.0
gemini_3_flash_preview,temporal,2,2,q_208237,False,0.0,805.0
gemini_3_flash_preview,temporal,2,2,q_152795,False,0.0,796.0
gemini_3_flash_preview,temporal,2,2,q_357629,True,1.0,1018.0
gemini_3_flash_preview,temporal,2,2,q_808189,True,1.0,1100.0
gemini_3_flash_preview,temporal,2,2,q_818838,True,1.0,958.0
gemini_3_flash_preview,temporal,2,2,q_236344,True,1.0,944.0
gemini_3_flash_preview,temporal,2,2,q_244619,True,1.0,921.0
gemini_3_flash_preview,temporal,2,3,q_363444,True,1.0,1335.0
gemini_3_flash_preview,temporal,2,3,q_169346,True,1.0,1231.0
gemini_3_flash_preview,temporal,2,3,q_281602,True,1.0,1339.0
gemini_3_flash_preview,temporal,2,3,q_118947,True,1.0,1264.0
gemini_3_flash_preview,temporal,2,3,q_589852,True,1.0,1465.0
gemini_3_flash_preview,temporal,2,3,q_675453,True,1.0,1009.0
gemini_3_flash_preview,temporal,2,3,q_694498,True,1.0,1307.0
gemini_3_flash_preview,temporal,2,3,q_575668,True,1.0,1492.0
gemini_3_flash_preview,temporal,2,3,q_358254,False,0.0,1197.0
gemini_3_flash_preview,temporal,2,3,q_557594,True,1.0,1593.0
gemini_3_flash_preview,temporal,3,1,q_675648,True,1.0,861.0
gemini_3_flash_preview,temporal,3,1,q_856132,True,1.0,950.0
gemini_3_flash_preview,temporal,3,1,q_640403,True,1.0,1166.0
gemini_3_flash_preview,temporal,3,1,q_223156,True,1.0,1065.0
gemini_3_flash_preview,temporal,3,1,q_462307,True,1.0,1376.0
gemini_3_flash_preview,temporal,3,1,q_908915,True,1.0,1259.0
gemini_3_flash_preview,temporal,3,1,q_398072,True,1.0,1471.0
gemini_3_flash_preview,temporal,3,1,q_297677,False,0.0,1145.0
gemini_3_flash_preview,temporal,3,1,q_175464,False,0.0,1492.0
gemini_3_flash_preview,temporal,3,1,q_155484,True,1.0,1722.0
gemini_3_flash_preview,temporal,3,2,q_754803,True,1.0,792.0
gemini_3_flash_preview,temporal,3,2,q_975143,True,1.0,795.0
gemini_3_flash_preview,temporal,3,2,q_584318,True,1.0,788.0
gemini_3_flash_preview,temporal,3,2,q_246608,True,1.0,1184.0
gemini_3_flash_preview,temporal,3,2,q_951002,True,1.0,1236.0
gemini_3_flash_preview,temporal,3,2,q_637571,True,1.0,1446.0
gemini_3_flash_preview,temporal,3,2,q_659379,True,1.0,1332.0
gemini_3_flash_preview,temporal,3,2,q_791806,True,1.0,1201.0
gemini_3_flash_preview,temporal,3,2,q_688099,False,0.0,1015.0
gemini_3_flash_preview,temporal,3,2,q_880410,False,0.0,1003.0
gemini_3_flash_preview,temporal,3,3,q_491097,True,1.0,885.0
gemini_3_flash_preview,temporal,3,3,q_303086,True,1.0,884.0
gemini_3_flash_preview,temporal,3,3,q_961435,True,1.0,1086.0
gemini_3_flash_preview,temporal,3,3,q_499898,True,1.0,980.0
gemini_3_flash_preview,temporal,3,3,q_894845,True,1.0,1252.0
gemini_3_flash_preview,temporal,3,3,q_480869,True,1.0,997.0
gemini_3_flash_preview,temporal,3,3,q_204372,True,1.0,1100.0
gemini_3_flash_preview,temporal,3,3,q_199612,True,1.0,1551.0
gemini_3_flash_preview,temporal,3,3,q_740968,False,0.0,1537.0
gemini_3_flash_preview,temporal,3,3,q_810293,False,0.0,1384.0
gemini_3_flash_preview,temporal,1,1,q_677642,True,1.0,1008.0
gemini_3_flash_preview,temporal,1,1,q_256351,False,0.0,1272.0
gemini_3_flash_preview,temporal,1,1,q_736762,True,1.0,1181.0
gemini_3_flash_preview,temporal,1,1,q_188062,False,0.0,1264.0
gemini_3_flash_preview,temporal,1,1,q_649587,False,0.0,1424.0
gemini_3_flash_preview,temporal,1,1,q_277684,True,1.0,1194.0
gemini_3_flash_preview,temporal,1,1,q_958081,True,1.0,1313.0
gemini_3_flash_preview,temporal,1,1,q_345632,True,1.0,1108.0
gemini_3_flash_preview,temporal,1,1,q_603960,False,0.0,1350.0
gemini_3_flash_preview,temporal,1,2,q_386081,True,1.0,1045.0
gemini_3_flash_preview,temporal,1,2,q_224139,True,1.0,948.0
gemini_3_flash_preview,temporal,1,2,q_646878,True,1.0,1003.0
gemini_3_flash_preview,temporal,1,2,q_612510,True,1.0,1105.0
gemini_3_flash_preview,temporal,1,2,q_315828,True,1.0,1087.0
gemini_3_flash_preview,temporal,1,2,q_261791,True,1.0,1258.0
gemini_3_flash_preview,temporal,1,2,q_812976,True,1.0,1378.0
gemini_3_flash_preview,temporal,1,2,q_431821,True,1.0,1120.0
gemini_3_flash_preview,temporal,1,2,q_395337,True,1.0,1225.0
gemini_3_flash_preview,temporal,1,2,q_338252,True,1.0,1422.0
gemini_3_flash_preview,temporal,1,3,q_879712,True,1.0,686.0
gemini_3_flash_preview,temporal,1,3,q_367289,True,1.0,902.0
gemini_3_flash_preview,temporal,1,3,q_863402,True,1.0,1014.0
gemini_3_flash_preview,temporal,1,3,q_787594,True,1.0,949.0
gemini_3_flash_preview,temporal,1,3,q_534995,True,1.0,1143.0
gemini_3_flash_preview,temporal,1,3,q_482716,True,1.0,1261.0
gemini_3_flash_preview,temporal,1,3,q_382437,True,1.0,915.0
gemini_3_flash_preview,temporal,1,3,q_594214,True,1.0,1368.0
gemini_3_flash_preview,temporal,1,3,q_609142,True,1.0,1080.0
gemini_3_flash_preview,temporal,4,1,q_732992,True,1.0,934.0
gemini_3_flash_preview,temporal,4,1,q_306979,True,1.0,949.0
gemini_3_flash_preview,temporal,4,1,q_864187,True,1.0,933.0
gemini_3_flash_preview,temporal,4,1,q_461090,True,1.0,986.0
gemini_3_flash_preview,temporal,4,1,q_479999,True,1.0,1446.0
gemini_3_flash_preview,temporal,4,1,q_715385,False,0.0,1197.0
gemini_3_flash_preview,temporal,4,1,q_981788,True,1.0,1315.0
gemini_3_flash_preview,temporal,4,1,q_370551,True,1.0,1379.0
gemini_3_flash_preview,temporal,4,1,q_727668,True,1.0,1436.0
gemini_3_flash_preview,temporal,4,1,q_863112,False,0.0,1286.0
gemini_3_flash_preview,temporal,4,2,q_223469,True,1.0,742.0
gemini_3_flash_preview,temporal,4,2,q_660466,True,1.0,929.0
gemini_3_flash_preview,temporal,4,2,q_910471,True,1.0,1105.0
gemini_3_flash_preview,temporal,4,2,q_452271,True,1.0,1343.0
gemini_3_flash_preview,temporal,4,2,q_178323,True,1.0,1337.0
gemini_3_flash_preview,temporal,4,2,q_889583,True,1.0,1170.0
gemini_3_flash_preview,temporal,4,2,q_469384,True,1.0,892.0
gemini_3_flash_preview,temporal,4,2,q_652945,True,1.0,1291.0
gemini_3_flash_preview,temporal,4,2,q_159790,True,1.0,1387.0
gemini_3_flash_preview,temporal,4,2,q_413629,True,1.0,1243.0
gemini_3_flash_preview,temporal,4,3,q_763519,True,1.0,728.0
gemini_3_flash_preview,temporal,4,3,q_303853,True,1.0,797.0
gemini_3_flash_preview,temporal,4,3,q_297453,True,1.0,1242.0
gemini_3_flash_preview,temporal,4,3,q_382114,True,1.0,1396.0
gemini_3_flash_preview,temporal,4,3,q_302794,True,1.0,1261.0
gemini_3_flash_preview,temporal,4,3,q_720968,True,1.0,1161.0
gemini_3_flash_preview,temporal,4,3,q_975021,False,0.0,962.0
gemini_3_flash_preview,temporal,4,3,q_364638,True,1.0,1371.0
gemini_3_flash_preview,temporal,4,3,q_136085,False,0.0,1028.0
gemini_3_flash_preview,temporal,4,3,q_555992,True,1.0,1294.0
gemini_3_flash_preview,weighted,2,1,q_872439,True,1.0,1339.0
gemini_3_flash_preview,weighted,2,1,q_525126,True,1.0,1335.0
gemini_3_flash_preview,weighted,2,1,q_213872,True,1.0,1504.0
gemini_3_flash_preview,weighted,2,1,q_753276,True,1.0,1677.0
gemini_3_flash_preview,weighted,2,1,q_922981,True,1.0,1760.0
gemini_3_flash_preview,weighted,2,1,q_863464,True,1.0,1943.0
gemini_3_flash_preview,weighted,2,1,q_861611,True,1.0,2329.0
gemini_3_flash_preview,weighted,2,1,q_634355,True,1.0,2404.0
gemini_3_flash_preview,weighted,2,1,q_298733,False,1.0,2136.0
gemini_3_flash_preview,weighted,2,1,q_356749,False,0.5,2266.0
gemini_3_flash_preview,weighted,2,2,q_454334,True,1.0,1527.0
gemini_3_flash_preview,weighted,2,2,q_314972,True,1.0,1540.0
gemini_3_flash_preview,weighted,2,2,q_545467,True,1.0,1534.0
gemini_3_flash_preview,weighted,2,2,q_991319,True,1.0,1952.0
gemini_3_flash_preview,weighted,2,2,q_972070,True,1.0,2169.0
gemini_3_flash_preview,weighted,2,2,q_481529,True,1.0,2245.0
gemini_3_flash_preview,weighted,2,2,q_944239,True,1.0,2516.0
gemini_3_flash_preview,weighted,2,2,q_204158,True,1.0,2734.0
gemini_3_flash_preview,weighted,2,2,q_267504,True,1.0,2683.0
gemini_3_flash_preview,weighted,2,2,q_935784,False,1.0,2492.0
gemini_3_flash_preview,weighted,2,3,q_482251,True,1.0,1346.0
gemini_3_flash_preview,weighted,2,3,q_566988,True,1.0,1458.0
gemini_3_flash_preview,weighted,2,3,q_152619,False,0.0,1777.0
gemini_3_flash_preview,weighted,2,3,q_389834,True,1.0,1760.0
gemini_3_flash_preview,weighted,2,3,q_599298,True,1.0,1992.0
gemini_3_flash_preview,weighted,2,3,q_661709,True,1.0,1821.0
gemini_3_flash_preview,weighted,2,3,q_370470,True,1.0,2105.0
gemini_3_flash_preview,weighted,2,3,q_639526,False,1.0,2202.0
gemini_3_flash_preview,weighted,2,3,q_122575,False,1.0,2101.0
gemini_3_flash_preview,weighted,2,3,q_713462,True,1.0,2267.0
gemini_3_flash_preview,weighted,3,1,q_278076,True,1.0,3253.0
gemini_3_flash_preview,weighted,3,1,q_865549,True,1.0,3301.0
gemini_3_flash_preview,weighted,3,1,q_997774,True,1.0,3298.0
gemini_3_flash_preview,weighted,3,1,q_109581,True,1.0,4248.0
gemini_3_flash_preview,weighted,3,1,q_858350,True,1.0,3850.0
gemini_3_flash_preview,weighted,3,1,q_305456,True,1.0,4014.0
gemini_3_flash_preview,weighted,3,1,q_361679,True,1.0,4247.0
gemini_3_flash_preview,weighted,3,1,q_529992,False,0.5,4603.0
gemini_3_flash_preview,weighted,3,1,q_573613,True,1.0,6290.0
gemini_3_flash_preview,weighted,3,1,q_508273,True,1.0,6819.0
gemini_3_flash_preview,weighted,3,2,q_436836,True,1.0,2843.0
gemini_3_flash_preview,weighted,3,2,q_615025,True,1.0,2885.0
gemini_3_flash_preview,weighted,3,2,q_921827,True,1.0,2956.0
gemini_3_flash_preview,weighted,3,2,q_163034,True,1.0,3028.0
gemini_3_flash_preview,weighted,3,2,q_994296,True,1.0,3203.0
gemini_3_flash_preview,weighted,3,2,q_330900,True,1.0,3482.0
gemini_3_flash_preview,weighted,3,2,q_688191,True,1.0,3674.0
gemini_3_flash_preview,weighted,3,2,q_723334,False,1.0,4067.0
gemini_3_flash_preview,weighted,3,2,q_749733,True,1.0,5651.0
gemini_3_flash_preview,weighted,3,2,q_843520,True,1.0,6024.0
gemini_3_flash_preview,weighted,3,3,q_730666,True,1.0,3619.0
gemini_3_flash_preview,weighted,3,3,q_719781,True,1.0,4019.0
gemini_3_flash_preview,weighted,3,3,q_257518,True,1.0,4115.0
gemini_3_flash_preview,weighted,3,3,q_105589,True,1.0,4317.0
